Packaging Supplier,Factory,Price SQM (US $),Primark SQM (US $) [ref 500x300x300, P/E model]
Uniglory Paper & Packaging,Faiza Industries Ltd (24407),0.72,0.70
Uniglory Paper & Packaging,Far East Knitting & Dyeing Industries Ltd PJT (115),0.72,0.70
Uniglory Paper & Packaging,Golden Refit Garments Ltd (23489),0.72,0.70
Uniglory Paper & Packaging,Ibrahim Knit Garments Pvt Ltd PJT (12048),0.72,0.70
Uniglory Paper & Packaging,Libas Textiles Ltd (13809),0.72,0.70
Uniglory Paper & Packaging,Neo Fashion Ltd (18983),0.72,0.70
Uniglory Paper & Packaging,Target Fine Wear,0.74,0.72
Uniglory Paper & Packaging,Yunusco BD Limited (23378),0.72,0.70
Uniglory Paper & Packaging,Afiya Knitwear Ltd PJT (20517),0.72,0.70
Uniglory Paper & Packaging,Ananta Huaxiang Ltd (20421),0.76,0.74
Uniglory Paper & Packaging,AST Knitwear Ltd PJT (14482),0.76,0.74
Uniglory Paper & Packaging,Azmat Apparels Ltd (24634),0.76,0.74
Uniglory Paper & Packaging,Comfit Composite Knit Ltd PKA Comfit Lingerie Limited,0.72,0.70
Uniglory Paper & Packaging,Echotex Ltd PJT (11583),0.73,0.71
Uniglory Paper & Packaging,Entrust Fashions Ltd.,0.72,0.70
Uniglory Paper & Packaging,Glory Fashion Wear Ltd (21750),0.72,0.70
Uniglory Paper & Packaging,Golden Refit Garments Ltd (23489),0.72,0.70
Uniglory Paper & Packaging,HELICON LIMITED,0.73,0.71
Uniglory Paper & Packaging,Mahdeen Sweater Ltd (15379),0.73,0.71
Uniglory Paper & Packaging,NKM FASHION LTD.,0.72,0.70
Uniglory Paper & Packaging,Novel Hurricane Knit Garments Ltd PJT (18469),0.75,0.73
Uniglory Paper & Packaging,Winter Dress (26695),0.72,0.70
Uniglory Paper & Packaging,Southern Clothings Ltd PJT (16534),0.72,0.70
Uniglory Paper & Packaging,ATS Apparels Ltd (11121),0.75,0.73
Uniglory Paper & Packaging,CA Knitwear Ltd (25383),0.72,0.70
Uniglory Paper & Packaging,Colors & Stitches Limited (24447),0.72,0.70
Uniglory Paper & Packaging,Colour And Co (27649),0.72,0.70
Uniglory Paper & Packaging,Fakir Apparels Ltd PJT (11266),0.73,0.71
Uniglory Paper & Packaging,Echotex Ltd PJT (11583),0.73,0.71
Uniglory Paper & Packaging,Fortis Garments Limited (25218),0.72,0.70
Uniglory Paper & Packaging,GM Apparels Ltd (25787),0.85,0.82
Uniglory Paper & Packaging,Goumati Knit Wears,0.72,0.70
Uniglory Paper & Packaging,Intimate Attire Ltd PJT (23817),0.72,0.70
Uniglory Paper & Packaging,Kaixi Fashion Bangladesh Co Ltd (26163),0.72,0.70
Uniglory Paper & Packaging,Lida Textile & Dyeing Limited (22400),0.72,0.70
Uniglory Paper & Packaging,Magic Works (26306),0.72,0.70
Uniglory Paper & Packaging,MB Knit Fashion PJT (19683),0.72,0.70
Uniglory Paper & Packaging,Modele De Capital Ind Ltd PJT (11277),0.72,0.70
Uniglory Paper & Packaging,Needle Drop Ltd (20159),0.72,0.70
Uniglory Paper & Packaging,New Asia Fashions Limited (26015),0.72,0.70
Uniglory Paper & Packaging,Newage Apparels Ltd (14512),0.72,0.70
Uniglory Paper & Packaging,Onus Design Ltd PKA Onus Garments Ltd (25438),0.72,0.70
Uniglory Paper & Packaging,Reaz Export Apparels Ltd PJT (15173),0.72,0.70
Uniglory Paper & Packaging,Rose Intimates Ltd PJT (23445),0.72,0.70
Uniglory Paper & Packaging,SB Style Composite Ltd PJT (17149),0.72,0.70
Uniglory Paper & Packaging,Scarlet Knitwears Ltd PJT (17803),0.72,0.70
Uniglory Paper & Packaging,Southeast Sweaters Limited PJT (23926),0.85,0.82
Uniglory Paper & Packaging,Southern Knitwear Limited (27035),0.72,0.70
Uniglory Paper & Packaging,Urmi Garments,0.70,0.68
Uniglory Paper & Packaging,Tropical Knitex Ltd (24442),0.72,0.70
Uniglory Paper & Packaging,Victoria Intimate Ltd (26293),0.72,0.70
Uniglory Paper & Packaging,Welldone Apparels Ltd.,0.72,0.70
Uniglory Paper & Packaging,Winter Dress (26695),0.72,0.70
UNION LABEL & ACCESSORIES LTD.,Winter Dress (26695),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,Hasan Tanvir Fashion Wears Ltd PJT (19151),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,Norp Knit Industries Limited Unit 1 PJT (18750),0.74,0.72
UNION LABEL & ACCESSORIES LTD.,SB Style Composite Ltd PJT (17149),0.75,0.73
UNION LABEL & ACCESSORIES LTD.,Mouchak Knit Composite Ltd PJT (20227),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,JIN HONG GARMENTS LTD.,0.76,0.74
UNION LABEL & ACCESSORIES LTD.,Southern Knitwear Limited (27035),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,Golden Refit Garments Ltd (23489),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,Axis Knitwears Limited (26006),0.74,0.72
UNION LABEL & ACCESSORIES LTD.,Echoknits Ltd (26559),0.70,0.68
UNION LABEL & ACCESSORIES LTD.,Target Denim & Casual Wear Ltd PJT (23925),0.70,0.68
UNION LABEL & ACCESSORIES LTD.,Modele De Capital Ind Ltd PJT (11277),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,Lesquire Limited (26569),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,Chorka Textile Limited PJT (18757),0.76,0.74
UNION LABEL & ACCESSORIES LTD.,Rizvi Fashions Limited PJT (21111),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,WELLDONE APPARELS LTD.,0.75,0.73
UNION LABEL & ACCESSORIES LTD.,Crown Exclusive Wears Ltd (24272),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,MG Niche Stitch Limited PJT (21531),0.68,0.66
UNION LABEL & ACCESSORIES LTD.,APS Apparels Limited (26018),0.68,0.66
